t,Vin,Vout
+2.00000E-03,+489.12500E-03,+15.58594E-03
+2.01000E-03,+489.94531E-03,+17.50000E-03
+2.02000E-03,+488.85156E-03,+13.94531E-03
+2.03000E-03,+489.94531E-03,+15.85938E-03
+2.04000E-03,+489.39844E-03,+12.57813E-03
+2.05000E-03,+489.39844E-03,+12.03125E-03
+2.06000E-03,+489.67188E-03,+10.93750E-03
+2.07000E-03,+488.57813E-03,+7.38281E-03
+2.08000E-03,+489.39844E-03,+9.29688E-03
+2.09000E-03,+490.21875E-03,+4.10156E-03
+2.10000E-03,+489.67188E-03,+4.92188E-03
+2.11000E-03,+490.21875E-03,+1.64063E-03
+2.12000E-03,+488.85156E-03,+546.88E-06
+2.13000E-03,+489.39844E-03,+820.31E-06
+2.14000E-03,+489.67188E-03,-3.00781E-03
+2.15000E-03,+489.12500E-03,-1.64063E-03
+2.16000E-03,+489.67188E-03,-5.46875E-03
+2.17000E-03,+487.75781E-03,-4.37500E-03
+2.18000E-03,+489.67188E-03,-6.28906E-03
+2.19000E-03,+488.85156E-03,-6.83594E-03
+2.20000E-03,+489.94531E-03,-5.74219E-03
+2.21000E-03,+489.12500E-03,-8.75000E-03
+2.22000E-03,+488.57813E-03,-6.56250E-03
+2.23000E-03,+489.39844E-03,-9.02344E-03
+2.24000E-03,+488.57813E-03,-6.83594E-03
+2.25000E-03,+489.39844E-03,-7.10938E-03
+2.26000E-03,+488.30469E-03,-7.38281E-03
+2.27000E-03,+488.30469E-03,-4.92188E-03
+2.28000E-03,+489.94531E-03,-6.01563E-03
+2.29000E-03,+488.85156E-03,-2.73438E-03
+2.30000E-03,+489.94531E-03,-3.82813E-03
+2.31000E-03,+488.85156E-03,-820.31E-06
+2.32000E-03,+488.85156E-03,-1.09375E-03
+2.33000E-03,+489.67188E-03,+0.0E+00
+2.34000E-03,+488.30469E-03,+2.18750E-03
+2.35000E-03,+489.39844E-03,+1.36719E-03
+2.36000E-03,+488.03125E-03,+4.64844E-03
+2.37000E-03,+488.57813E-03,+3.00781E-03
+2.38000E-03,+488.85156E-03,+6.28906E-03
+2.39000E-03,+488.57813E-03,+5.46875E-03
+2.40000E-03,+489.67188E-03,+6.56250E-03
+2.41000E-03,+488.30469E-03,+7.92969E-03
+2.42000E-03,+489.12500E-03,+6.28906E-03
+2.43000E-03,+488.85156E-03,+9.57031E-03
+2.44000E-03,+488.57813E-03,+6.83594E-03
+2.45000E-03,+488.57813E-03,+9.84375E-03
+2.46000E-03,+488.30469E-03,+7.10938E-03
+2.47000E-03,+489.12500E-03,+7.92969E-03
+2.48000E-03,+488.03125E-03,+7.92969E-03
+2.49000E-03,+489.12500E-03,+6.01563E-03
+2.50000E-03,+488.03125E-03,+8.20313E-03
+2.51000E-03,+488.30469E-03,+4.10156E-03
+2.52000E-03,+489.12500E-03,+7.10938E-03
+2.53000E-03,+487.75781E-03,+3.28125E-03
+2.54000E-03,+488.30469E-03,+4.37500E-03
+2.55000E-03,+488.03125E-03,+3.82813E-03
+2.56000E-03,+488.57813E-03,+1.64063E-03
+2.57000E-03,+489.94531E-03,+3.82813E-03
+2.58000E-03,+487.48438E-03,-546.88E-06
+2.59000E-03,+489.12500E-03,+2.73438E-03
+2.60000E-03,+487.75781E-03,-1.09375E-03
+2.61000E-03,+488.85156E-03,+273.44E-06
+2.62000E-03,+488.85156E-03,-273.44E-06
+2.63000E-03,+488.03125E-03,-2.73438E-03
+2.64000E-03,+488.03125E-03,-273.44E-06
+2.65000E-03,+487.48438E-03,-4.37500E-03
+2.66000E-03,+489.12500E-03,-1.09375E-03
+2.67000E-03,+488.85156E-03,-4.10156E-03
+2.68000E-03,+488.57813E-03,-1.91406E-03
+2.69000E-03,+489.12500E-03,-2.46094E-03
+2.70000E-03,+487.21094E-03,-3.55469E-03
+2.71000E-03,+489.12500E-03,-820.31E-06
+2.72000E-03,+487.75781E-03,-3.82813E-03
+2.73000E-03,+488.03125E-03,+273.44E-06
+2.74000E-03,+487.48438E-03,-2.46094E-03
+2.75000E-03,+487.48438E-03,+273.44E-06
+2.76000E-03,+488.57813E-03,-546.88E-06
+2.77000E-03,+487.21094E-03,-273.44E-06
+2.78000E-03,+488.03125E-03,+1.64063E-03
+2.79000E-03,+488.30469E-03,-546.88E-06
+2.80000E-03,+487.75781E-03,+2.73438E-03
+2.81000E-03,+488.85156E-03,+546.88E-06
+2.82000E-03,+487.48438E-03,+3.28125E-03
+2.83000E-03,+488.57813E-03,+1.64063E-03
+2.84000E-03,+487.21094E-03,+3.00781E-03
+2.85000E-03,+488.03125E-03,+3.82813E-03
+2.86000E-03,+488.03125E-03,+2.18750E-03
+2.87000E-03,+487.48438E-03,+4.64844E-03
+2.88000E-03,+488.57813E-03,+2.46094E-03
+2.89000E-03,+486.39063E-03,+4.92188E-03
+2.90000E-03,+488.03125E-03,+3.00781E-03
+2.91000E-03,+487.21094E-03,+4.64844E-03
+2.92000E-03,+487.21094E-03,+4.10156E-03
+2.93000E-03,+487.75781E-03,+3.55469E-03
+2.94000E-03,+486.66406E-03,+4.92188E-03
+2.95000E-03,+487.75781E-03,+2.46094E-03
+2.96000E-03,+487.21094E-03,+5.46875E-03
+2.97000E-03,+487.21094E-03,+2.18750E-03
+2.98000E-03,+488.30469E-03,+4.64844E-03
+2.99000E-03,+487.21094E-03,+3.00781E-03
+3.00000E-03,+488.03125E-03,+2.73438E-03
+3.01000E-03,+486.93750E-03,+3.82813E-03
+3.02000E-03,+488.03125E-03,+1.09375E-03
+3.03000E-03,+488.57813E-03,+3.55469E-03
+3.04000E-03,+487.75781E-03,+0.0E+00
+3.05000E-03,+488.85156E-03,+3.00781E-03
+3.06000E-03,+487.21094E-03,+546.88E-06
+3.07000E-03,+488.57813E-03,+1.09375E-03
+3.08000E-03,+487.48438E-03,+1.91406E-03
+3.09000E-03,+487.75781E-03,-546.88E-06
+3.10000E-03,+488.30469E-03,+2.18750E-03
+3.11000E-03,+487.75781E-03,-1.64063E-03
+3.12000E-03,+488.85156E-03,+1.91406E-03
+3.13000E-03,+487.21094E-03,-820.31E-06
+3.14000E-03,+488.85156E-03,+546.88E-06
+3.15000E-03,+488.30469E-03,+820.31E-06
+3.16000E-03,+488.03125E-03,-1.36719E-03
