Freq.	V(n005)/(-I(R1)-I(R2))
3.32682530074030e+001	(6.02495057322368e+001dB,-6.46328696272444e+001°)
3.33449442510209e+001	(6.02235911667810e+001dB,-6.46556194005801e+001°)
3.34218122862138e+001	(6.01976314197474e+001dB,-6.46779430800706e+001°)
3.34988575205284e+001	(6.01716266069777e+001dB,-6.46998381021407e+001°)
3.35760803624508e+001	(6.01455768466603e+001dB,-6.47213018923029e+001°)
3.36534812214090e+001	(6.01194822593557e+001dB,-6.47423318651382e+001°)
3.37310605077744e+001	(6.00933429680414e+001dB,-6.47629254243326e+001°)
3.38088186328649e+001	(6.00671590981268e+001dB,-6.47830799626490e+001°)
3.38867560089462e+001	(6.00409307774872e+001dB,-6.48027928619200e+001°)
3.39648730492345e+001	(6.00146581365016e+001dB,-6.48220614930628e+001°)
3.40431701678986e+001	(5.99883413080799e+001dB,-6.48408832161039e+001°)
3.41216477800621e+001	(5.99619804276875e+001dB,-6.48592553801110e+001°)
3.42003063018053e+001	(5.99355756333891e+001dB,-6.48771753232723e+001°)
3.42791461501681e+001	(5.99091270658715e+001dB,-6.48946403728592e+001°)
3.43581677431514e+001	(5.98826348684855e+001dB,-6.49116478452863e+001°)
3.44373714997197e+001	(5.98560991872662e+001dB,-6.49281950460381e+001°)
3.45167578398037e+001	(5.98295201709798e+001dB,-6.49442792697689e+001°)
3.45963271843016e+001	(5.98028979711482e+001dB,-6.49598978002619e+001°)
3.46760799550823e+001	(5.97762327420858e+001dB,-6.49750479104715e+001°)
3.47560165749871e+001	(5.97495246409367e+001dB,-6.49897268625303e+001°)
3.48361374678319e+001	(5.97227738277051e+001dB,-6.50039319077841e+001°)
3.49164430584097e+001	(5.96959804652918e+001dB,-6.50176602867887e+001°)
3.49969337724927e+001	(5.96691447195317e+001dB,-6.50309092293659e+001°)
3.50776100368348e+001	(5.96422667592274e+001dB,-6.50436759545999e+001°)
3.51584722791734e+001	(5.96153467561892e+001dB,-6.50559576709153e+001°)
3.52395209282322e+001	(5.95883848852650e+001dB,-6.50677515760447e+001°)
3.53207564137229e+001	(5.95613813243836e+001dB,-6.50790548571030e+001°)
3.54021791663480e+001	(5.95343362545910e+001dB,-6.50898646906386e+001°)
